iter	Logloss
0	0.685216533
1	0.6780754854
2	0.6705569701
3	0.663206837
4	0.655836632
5	0.6491665688
6	0.6423597861
7	0.6359056943
8	0.632696092
9	0.625902608
10	0.6196933996
11	0.6137333369
12	0.6082542687
13	0.6016823865
14	0.5967087844
15	0.5910788582
16	0.5856842986
17	0.5802136409
18	0.5747620454
19	0.5694272372
20	0.5641718674
21	0.5602198843
22	0.5551323048
23	0.5505827847
24	0.5463449996
25	0.5418344813
26	0.5375091002
27	0.5344365581
28	0.5303476599
29	0.5265039948
30	0.5226111916
31	0.5188276454
32	0.5150380979
33	0.5113078238
34	0.5076083892
35	0.5037539018
36	0.5010080457
37	0.4978008195
38	0.493913986
39	0.4900320078
40	0.4872962849
41	0.4848433994
42	0.4822146712
43	0.478999547
44	0.476044237
45	0.4734407306
46	0.4705927618
47	0.4679183832
48	0.4652228787
49	0.4621786328
50	0.4590811539
51	0.4571939582
52	0.4548829954
53	0.4521578479
54	0.4497441676
55	0.4469937433
56	0.4461156056
57	0.4434402957
58	0.4417959752
59	0.4395523646
60	0.4371141167
61	0.4348012861
62	0.4328651023
63	0.4304678008
64	0.4281206189
65	0.4258277713
66	0.4241477087
67	0.4219872932
68	0.4197617812
69	0.4179738728
70	0.4161709235
71	0.4144154031
72	0.4126150448
73	0.4107873641
74	0.4092654694
75	0.4080810241
76	0.4063941465
77	0.4050768524
78	0.4035515976
79	0.4020055857
80	0.400463098
81	0.3989025396
82	0.3974313731
83	0.39598837
84	0.395038999
85	0.393838212
86	0.392638115
87	0.3912689483
88	0.3899247636
89	0.388938022
90	0.3874667883
91	0.3867039682
92	0.3854175484
93	0.3841079964
94	0.3829292578
95	0.3818943729
96	0.3810774346
97	0.3800966755
98	0.3788627938
99	0.3781295252
100	0.3770066686
101	0.3759397356
102	0.3747246524
103	0.3744104782
104	0.3733297542
105	0.372270397
106	0.371296103
107	0.3699642856
108	0.3690827605
109	0.368118752
110	0.3669637121
111	0.3657884596
112	0.3650933832
113	0.3642687836
114	0.3631711774
115	0.3622495277
116	0.3614842705
117	0.3605551521
118	0.3597722552
119	0.3588627544
120	0.3579836261
121	0.3570275713
122	0.3559932373
123	0.3549887228
124	0.3544491082
125	0.3536737274
126	0.3529492522
127	0.3524039183
128	0.3517558506
129	0.3509839537
130	0.3500721215
131	0.349375751
132	0.3485702318
133	0.3478726082
134	0.3466766177
135	0.3456451669
136	0.3448623376
137	0.3442729576
138	0.3435358753
139	0.3428700882
140	0.3420814576
141	0.3416006844
142	0.3410422115
143	0.3401711725
144	0.3392558425
145	0.3386066961
146	0.3377801101
147	0.3369235093
148	0.336342922
149	0.3354291808
150	0.3349487847
151	0.3344420241
152	0.3339125415
153	0.3331445817
154	0.3325782482
155	0.3320958701
156	0.3316344956
157	0.3307744987
158	0.3299534675
159	0.3294876538
160	0.3289428303
161	0.3285432793
162	0.3279624039
163	0.327240511
164	0.326691278
165	0.3262665315
166	0.325675788
167	0.3253421608
168	0.3247728164
169	0.3242665553
170	0.3238351699
171	0.3234438563
172	0.3230206264
